iter	MultiClass
0	4.310701218
1	4.271678243
2	4.235049814
3	4.192146229
4	4.164623018
5	4.13420481
6	4.101209972
7	4.070011944
8	4.040701757
9	4.010379235
10	3.983762853
11	3.943691312
12	3.912535721
13	3.886419963
14	3.85888735
15	3.830094563
16	3.805774995
17	3.776236787
18	3.751377142
19	3.728529959
20	3.703452254
21	3.678278785
22	3.648175132
23	3.623168039
24	3.598344405
25	3.570748691
26	3.549009965
27	3.522177823
28	3.499523859
29	3.476532137
30	3.454451806
31	3.433329204
32	3.413833698
33	3.388191411
34	3.365035632
35	3.344100943
36	3.324475037
37	3.304363782
38	3.284026431
39	3.262499353
40	3.242944066
41	3.224974822
42	3.208656286
43	3.192692703
44	3.175093461
45	3.15762192
46	3.141765835
47	3.124491427
48	3.107937085
49	3.09299829
50	3.076967343
51	3.059656198
52	3.044288241
53	3.028592875
54	3.01215525
55	2.996646777
56	2.980476376
57	2.965399118
58	2.95181213
59	2.934817318
60	2.920563549
61	2.904326836
62	2.890047486
63	2.874487546
64	2.859120264
65	2.846059933
66	2.83069469
67	2.814245717
68	2.80250542
69	2.791144771
70	2.775646035
71	2.759654054
72	2.744946786
73	2.731152582
74	2.717667865
75	2.701215641
76	2.686221508
77	2.673079604
78	2.661876718
79	2.648786889
80	2.63630892
81	2.625457239
82	2.615186819
83	2.602825663
84	2.591600837
85	2.581918573
86	2.56878178
87	2.55676689
88	2.54435027
89	2.534332168
90	2.522927237
91	2.513421343
92	2.50747916
93	2.496456018
94	2.487413649
95	2.474294229
96	2.464026018
97	2.453838245
98	2.442509387
99	2.432212948
100	2.422973313
101	2.413721468
102	2.403490551
103	2.394217566
104	2.383787887
105	2.37351688
106	2.363932601
107	2.355332269
108	2.34380179
109	2.333186072
110	2.32667707
111	2.316917866
112	2.309071761
113	2.299505799
114	2.290640788
115	2.284496208
116	2.276322242
117	2.269678148
118	2.259879445
119	2.252995844
120	2.245774361
121	2.238381326
122	2.230678816
123	2.223077064
124	2.215766183
125	2.209431011
126	2.201111386
127	2.191603067
128	2.182453687
129	2.173027571
130	2.167033782
131	2.158854999
132	2.150398749
133	2.145818913
134	2.138267526
135	2.128932449
136	2.124300218
137	2.116294097
138	2.110907494
139	2.10377276
140	2.098067853
141	2.090406253
142	2.082168305
143	2.073891773
144	2.06630637
145	2.060851333
146	2.054956043
147	2.047170705
148	2.040974585
149	2.033170434
150	2.027253932
151	2.021761838
152	2.014463007
153	2.008166042
154	2.000360288
155	1.994054117
156	1.988616635
157	1.981240343
158	1.973774007
159	1.966124581
160	1.961894859
161	1.956895043
162	1.950552655
163	1.944022602
164	1.937998492
165	1.930279255
166	1.923122643
167	1.918945997
168	1.912567421
169	1.905971661
170	1.898617608
171	1.895996753
172	1.889314103
173	1.883963562
174	1.879230947
175	1.874301183
176	1.869565208
177	1.862882346
178	1.858065913
179	1.852966681
180	1.846804576
181	1.840730261
182	1.836305309
183	1.829963732
184	1.824858745
185	1.818948708
186	1.812588465
187	1.807524934
188	1.803161862
189	1.797026162
190	1.793007744
191	1.788381771
192	1.782402939
193	1.777054369
194	1.771190234
195	1.765890876
196	1.760691257
197	1.75476433
198	1.749153663
199	1.744718767
200	1.739440042
201	1.735043201
202	1.729324357
203	1.725523692
204	1.720095873
205	1.715100388
206	1.709989807
207	1.704162858
208	1.699094652
209	1.696658521
210	1.690818512
211	1.685355141
212	1.680783071
213	1.676111564
214	1.669691296
215	1.66462235
216	1.659927412
217	1.653523132
218	1.650135611
219	1.643481611
220	1.639659536
221	1.635709845
222	1.630172174
223	1.625722189
224	1.621629168
225	1.616461211
226	1.612785851
227	1.607677683
228	1.604645621
229	1.600892242
230	1.595965748
231	1.59226137
232	1.589151946
233	1.58371579
234	1.578512178
235	1.573019558
236	1.567711248
237	1.563893953
238	1.559986027
239	1.555025835
240	1.551502828
241	1.545614125
242	1.542417103
243	1.538368248
244	1.532812344
245	1.528487599
246	1.525459358
247	1.521028881
248	1.517092523
249	1.513615421
250	1.509681035
251	1.505052406
252	1.500929427
253	1.496130808
254	1.492347981
255	1.49018768
256	1.486197557
257	1.484293494
258	1.479746052
259	1.47789774
260	1.472844164
261	1.46851192
262	1.465126423
263	1.46277784
264	1.459525033
265	1.456921199
266	1.453471615
267	1.451789871
268	1.448731479
269	1.445753209
270	1.442790687
271	1.44157875
272	1.438783251
273	1.435444952
274	1.432267643
275	1.428593019
276	1.42405302
277	1.421257458
278	1.418101815
279	1.41543625
280	1.411288053
281	1.408032174
282	1.403837768
283	1.400051567
284	1.395676654
285	1.391644452
286	1.387368605
287	1.38505346
288	1.381608293
289	1.380146696
290	1.375296557
291	1.37037556
292	1.365762997
293	1.361301172
294	1.357629474
295	1.355312786
296	1.352315127
297	1.349859814
298	1.345295213
299	1.341203535
300	1.339154795
301	1.336001337
302	1.333181256
303	1.330658027
304	1.329149167
305	1.325577387
306	1.321290038
307	1.318767953
308	1.31677281
309	1.314341556
310	1.312109829
311	1.309704541
312	1.307599906
313	1.304869206
314	1.302976742
315	1.299881802
316	1.295653321
317	1.292897327
318	1.291202725
319	1.286813855
320	1.283423351
321	1.280513815
322	1.276393079
323	1.272725281
324	1.271654988
325	1.26816837
326	1.263906498
327	1.261309175
328	1.258982296
329	1.255874971
330	1.252222705
331	1.249945579
332	1.247183886
333	1.2436435
334	1.239987052
335	1.237596818
336	1.235862325
337	1.233527895
338	1.229627118
339	1.225822429
340	1.222128813
341	1.218991344
342	1.215130793
343	1.212850604
344	1.209425193
345	1.20575351
346	1.202021607
347	1.198730826
348	1.194991425
349	1.191474983
350	1.188861805
351	1.185956684
352	1.18274934
353	1.181503608
354	1.178783145
355	1.175159669
356	1.171673182
357	1.168279417
358	1.165011702
359	1.162871977
360	1.160275017
361	1.15755815
362	1.154690076
363	1.15146062
364	1.149693791
365	1.146628875
366	1.144088456
367	1.141090148
368	1.139192839
369	1.135492829
370	1.132267113
371	1.129879959
372	1.12754457
373	1.124495978
374	1.121311829
375	1.119156332
376	1.117263408
377	1.114449084
378	1.113356598
379	1.11078645
380	1.107874489
381	1.10428627
382	1.100269806
383	1.097648163
384	1.094337372
385	1.091938327
